Subject,Body
"Job Opening in Bangalore","We are looking for a software developer in Bangalore. Can you refer someone?"
"Birthday Party Reminder","Don't forget the birthday party tomorrow evening at 7 PM."
"Dentist Recommendation","Contact Dr. Smith, the best dentist in your area, for any dental issues."
"Project Deadline","The project deadline has been extended to next Monday."
"Vacation Plans","Hey Alex, let's discuss our vacation plans for next month."
"Team Lunch","The team lunch is scheduled for Friday at 1 PM in the cafeteria."
"Plumber Needed","Can you recommend a good plumber to fix a leak in my kitchen?"
"Meeting Rescheduled","The meeting has been rescheduled to 3 PM on Thursday."
"Gym Membership Renewal","Your gym membership expires next week. Please renew it at the earliest."
"Car Service Appointment","Your car service is due. Schedule an appointment with the workshop."
"Feedback Request","We value your feedback on our recent services. Please reply to this email."
"Lost Item","I think I left my keys in your car. Can you check and let me know?"
"Invitation for Seminar","You are cordially invited to the seminar on AI happening next Tuesday."
"Pet Grooming Appointment","Your pet grooming appointment is confirmed for Saturday at 11 AM."
"Software Update","A new software update is available for your device. Install it to enjoy the latest features."
